S.No,HEA combinations,Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Nb,Mo,Zr,Hf,Ta,W,Si,SC,C,Density_calc,dHmix,dSmix,dGmix,Tm,n.Para,Atom.Size.Diff,Elect.Diff,VEC,Phases,
1, (CoCrCuFeNi)84Nb16,0,17,17,17,17,17,0,0,0,13,0,0,0,0,0,0,0,0,8.396081499,-17.208576,14.89617139,408.1247331,1581.309134,1.60526595,5.120715665,0.12095,8.192,MIP,
2, (CoCrCuFeNi)88Nb12,0,18,18,18,18,18,0,0,0,10,0,0,0,0,0,0,0,0,8.383943652,-16.372224,14.8266012,398.0334057,1541.792376,1.643602409,4.588923987,0.115607169,8.344,MIP,
3, (CoCrCuFeNi)92Nb8,0,19,19,19,19,19,0,0,0,7,0,0,0,0,0,0,0,0,8.371280937,-15.385344,14.62889906,388.1885457,1502.505232,1.688352315,3.893664566,0.109192058,8.496,MIP,
4, (CoCrCuFeNi)96Nb4,0,19,19,19,19,19,0,0,0,3,0,0,0,0,0,0,0,0,8.358058555,-14.247936,14.24271136,378.6629953,1463.445707,1.735958907,2.916370967,0.101501559,8.648,FCC,
5,(CoCrNi)94Al3Ti3,3,31,31,0,31,0,0,3,0,0,0,0,0,0,0,0,0,0,7.887276237,-8.977422222,10.81920964,404.8363387,1544.145609,2.190127822,3.751220236,0.12265523,8.043333333,MIP,
6,(FeCoNiCr)94Ti2Al4,4,24,24,24,24,0,0,2,0,0,0,0,0,0,0,0,0,0,7.767598763,-7.3763,13.03936365,396.2312503,1524.225483,3.177288416,3.706237868,0.109201648,7.955,MIP,
7,(TiZrNbTa)85Mo15,0,0,0,0,0,0,0,21,0,21,15,21,0,21,0,0,0,0,8.358211,-0.87,13.31194683,670.6045741,2582.35,39.5,4.27,3.57,4.725,MIP,
8,(TiZrNbTa)90Mo10,0,0,0,0,0,0,0,23,0,23,10,23,0,23,0,0,0,0,6.0864o88,0.135,13.08,666.435015,2564,248.42,4.13,3.7,4.65,MIP,
9,(TiZrNbTa)95Mo5,0,0,0,0,0,0,0,24,0,24,5,24,0,24,0,0,0,0,7.72947611,1.26,12.6,662.97966,2546,25.46,3.96,3.81,4.575,MIP,
10,Al0.25MoNbTiV,6,0,0,0,0,0,0,24,24,24,24,0,0,0,0,0,0,0,7.075664374,-4.041522491,12.70837022,546.1289,2098.157909,7.456461981,4.003399323,0.243216622,4.882352941,BCC,
11,Al0.25NbTaTiV,6,0,0,0,0,0,0,24,24,24,0,0,0,24,0,0,0,0,8.805485735,-4.816608997,12.70837022,601.9875092,2312.760984,6.822790506,3.832439709,0.05017616,4.647058824,BCC, 
12,Al0.25NbTaTiZr,11.11,0,0,0,0,0,0,22.2,0,22.2,0,22.2,0,22.2,0,0,0,0,7.72947611,2.814022423,12.66135598,705.2231057,2709.505818,6.640900213,3.708173794,2.290409173,3.669869875,MIP,
13,Al0.25NbTiMoV,11.11,0,0,0,0,0,0,22.2,22.2,22.2,22.2,0,0,0,0,0,0,0,7.72947611,4.614858489,12.62749142,741.7208447,2849.532508,7.233020175,3.656915301,2.489530392,3.173064171,BCC,
14,Al0.25TiZrNbHf  ,11.11,0,0,0,0,0,0,22.2,0,22.2,0,22.2,22.2,0,0,0,0,0,7.596743587,6.415694555,12.59362686,778.2185837,2989.559199,7.825140137,3.605656807,2.688651611,2.676258467,BCC,
15,Al0.2Co1.5CrFeNi1.5Ti0.3,4,27,18,18,27,0,0,5,0,0,0,0,0,0,0,0,0,0,7.733562964,-10.02975207,13.36783889,392.8520383,1513.148704,2.38081192,4.630363442,0.116865961,8.054545455,MIP,
16,Al0.2MoNbTaTiV,10,0,0,0,0,0,0,20,10,20,20,0,0,20,0,0,0,0,7.72947611,5.151691303,12.73148849,602.4264538,2314.303236,-58.0040825,3.962814161,0.760596995,4.108126798,BCC,
17,Al0.2MoTaTiV,5,0,0,0,0,0,0,24,24,0,24,0,0,24,0,0,0,0,7.128849756,-3.35600907,12.56917544,551.9585078,2119.418332,8.960825344,4.017794358,0.244332586,4.904761905,BCC,
18,Al0.3CrFe1.5MnNi0.5Ti0.2,7,0,22,33,11,0,22,4,0,0,0,0,0,0,0,0,0,0,7.059399185,-7.674074074,13.28429997,374.3305458,1441.338432,2.96788621,5.397076994,0.132053861,7.044444444,BCC,
19,Al0.3HfNbTaTiZr,6,0,0,0,0,0,0,19,0,19,0,19,19,19,0,0,0,0,8.546797305,-5.040562466,12.82599837,581.4433955,2234.844498,6.381734885,4.754310304,0.10130303,4.395348837,BCC,
20,Al0.3NbTa0.8Ti1.4V0.2Zr1.3,6,0,0,0,0,0,0,28,4,20,0,26,0,16,0,0,0,0,7.71,-4.86,13.46,601.2169546,2316.49,6.41,4.5,0.11,4.34,BCC,
21,Al0.3NbTaTi1.4Zr1.3,6,0,0,0,0,0,0,28,0,20,0,26,0,20,0,0,0,0,8.546797305,-5.040562466,12.82599837,581.4433955,2234.844498,6.381734885,4.754310304,0.10130303,4.395348837,MIP,
22,Al0.4Hf0.6NbTaTiZr,8,0,0,0,0,0,0,20,0,20,0,20,12,20,0,0,0,0,9.09,-6.33,14.5,619.66987,2397.2,5.49,4.11,0.12,4.32,BCC,
23,Al0.4MoNbTaTiV,2.25,0,0,0,0,0,0,10,10.6,19.4,20,0,0,37.7,0,0,0,0,7.72947611,0.556692578,14.02740587,526.7068041,2032.60977,15.80619114,4.764711345,-0.49433689,4.544735217,BCC,
24,Al0.5CoCrCu0.5FeNiTi0.5,9,18,18,18,18,9,0,9,0,0,0,0,0,0,0,0,0,0,7.124653711,-10.84297521,15.74583048,359.0404941,1395.70658,2.423461486,5.968017454,0.130877521,7.636363636,MIP,
25,Al0.5CoCrFeNiTi0.5,10,20,20,20,20,0,0,10,0,0,0,0,0,0,0,0,0,0,6.952532663,-15.52,14.53423972,379.4703095,1468.224762,1.630770505,6.252018873,0.13163966,7.3,MIP,
26,Al0.5HfNbTaTiZr,9,0,0,0,0,0,0,18,0,18,0,18,18,18,0,0,0,0,8.318837085,-8.987654321,13.14594406,563.7030986,2169.34111,3.572550786,4.697177857,0.101555799,4.333333333,BCC,
27,Al0.5HfNbTiZr,11,0,0,0,0,0,0,22,0,22,0,22,22,0,0,0,0,0,7.880052679,-10.96296296,13.14594406,502.6094733,1934.241259,2.646934237,4.957906842,0.1331202,4.111111111,BCC,
28,Al0.5Mo0.5NbTa0.5TiZr,11.11,0,0,0,0,0,0,22.2,0,22.2,11.1,22.2,0,11.1,0,0,0,0,7.72947611,-9.243181077,13.8119888,427.4172547,1672.173121,2.636484977,5.494774302,0.062841944,5.70586414,MIP,
29,Al0.5MoNbTiV,11,0,0,0,0,0,0,22,22,22,22,0,0,0,0,0,0,0,6.827812983,-7.012345679,13.14594406,519.8353005,2000.516448,4.262409942,3.93239278,0.237834884,4.777777778,BCC,
30,Al0.5NbTa0.8Ti1.5V0.2Zr,10,0,0,0,0,0,0,30,4,20,0,20,0,16,0,0,0,0,7.56,-8.62,13.78,587.1169034,2264.97,3.62,4.23,0.1,4.3,MIP,
31,Al0.5NbTaTiV,11,0,0,0,0,0,0,22,22,22,0,0,0,22,0,0,0,0,8.470881725,-8.395061728,13.14594406,575.7847956,2215.832994,3.897533129,3.737504762,0.049615808,4.555555556,BCC,
32,Al0.5NbTiMoV,12.5,0,0,0,0,0,0,25,25,25,12.5,0,0,0,0,0,0,0,7.956020667,-10.6359896,13.2592704,521.3168552,1981.429593,2.279120464,4.493754638,0.131539841,4.958052234,BCC,
33,Al0.5NbTiVZr,11,0,0,0,0,0,0,22,22,22,0,22,0,0,0,0,0,0,6.07,-10.86,13.15,546.755116,2104.16,2.55,5.76,0.11,4.33,MIP,
34,Al0.5TiZrNbHf  ,12.5,0,0,0,0,0,0,25,0,25,0,25,12.5,0,0,0,0,0,7.956020667,-11.41150519,13.22403856,507.9083277,2030.293838,1.516040672,4.737205319,0.161489209,4.760510655,BCC,
35,Al0.6MoNbTaTiV,13.04,0,0,0,0,0,0,17.4,17.4,17.4,17.4,0,0,17.4,0,0,0,0,7.890652596,-11.82109597,13.16173408,505.6174518,2036.036363,1.112396651,4.600390006,0.174493252,4.732310725,BCC,
36,Al0.6MoTaTiV,13,0,0,0,0,0,0,0,22,22,22,0,0,22,0,0,0,0,6.73636013,-8.015122873,13.24232516,510.4350562,1965.07407,3.697920966,3.904515056,0.235770867,4.739130435,BCC,
37,Al0.75CoCrCu0.25FeNiTi0.5,14,18,18,18,18,5,0,9,0,0,0,0,0,0,0,0,0,0,6.784659882,-14.38842975,15.54807926,355.3300781,1380.236222,1.786642495,6.381032408,0.132989312,7.272727273,BCC,
38,Al0.75HfNbTaTiZr,13,0,0,0,0,0,0,17,0,17,0,17,17,17,0,0,0,0,9.1,-11.55,14.86,597.7555038,2315.67,2.98,4.23,0.12,4.22,BCC,
39,Al0.75HfNbTiZr,16,0,0,0,0,0,0,21,0,21,0,21,21,0,0,0,0,0,7.650199416,-15.64542936,13.33280622,487.503048,1877.475111,1.832731285,4.969833989,0.133767069,4.052631579,BCC,
40,Al0.75MoNbTiV,16,0,0,0,0,0,0,21,21,21,21,0,0,0,0,0,0,0,6.606534579,-9.351800554,13.33280622,497.3287529,1915.290482,3.12004653,3.863331752,0.232764906,4.684210526,BCC,
41,Al0.75NbTiMoV,6.57,0,0,0,0,0,0,15.6,16.5,30.2,31.2,0,0,0,0,0,0,0,7.956020667,-13.19755867,14.09148461,494.4732924,1810.833049,2.070882923,4.67925056,0.177561199,4.944820763,BCC,
42,Al0.75TiZrNbHf ,4.7,0,0,0,0,0,0,11.1,0,21.6,0,21.2,41.5,0,0,0,0,0,7.890652596,-13.76857455,14.16731624,492.1441534,1809.436951,1.857735276,4.768424893,0.181541574,4.998248421,BCC,
43,Al0.8CoCrFeNiTi0.2,16,20,20,20,20,0,0,4,0,0,0,0,0,0,0,0,0,0,6.318504962,-21.97777778,14.84171088,371.6384062,1439.660858,1.156670333,7.321195919,0.14400463,6.7,MIP,
44,Al0.8CoCrFeNiTi1.2,13,17,17,17,17,0,0,20,0,0,0,0,0,0,0,0,0,0,6.318504962,-21.97777778,14.84171088,371.6384062,1439.660858,1.156670333,7.321195919,0.14400463,6.7,MIP,
45,Al1.25HfNbTiZr,24,0,0,0,0,0,0,19,0,19,0,19,19,0,0,0,0,0,7.2467001,-22.31292517,13.34553197,461.6108101,1777.874752,1.226733662,4.95666278,0.133805287,3.952380952,MIP,
46,Al1.2CoCrFeNiTi0.8,20,17,17,17,17,0,0,13,0,0,0,0,0,0,0,0,0,0,6.173342941,-20.86666667,14.84171088,353.391497,1368.975464,1.16798489,7.117831292,0.138610566,6.633333333,MIP,
47,Al1.5CoCrFeNiTi0.5,25,17,17,17,17,0,0,8,0,0,0,0,0,0,0,0,0,0,6.063594244,-19.33333333,14.53497229,340.6359879,1317.993867,1.196236139,6.95835874,0.134316686,6.583333333,MIP,
48,Al1.5HfNbTiZr,27,0,0,0,0,0,0,18,0,18,0,18,18,0,0,0,0,0,7.068651913,-24.66115702,13.2546386,450.3596584,1733.945573,1.07875419,4.937539432,0.133404251,3.909090909,MIP,
49,Al1.5MoNbTiV,27,0,0,0,0,0,0,18,18,18,18,0,0,0,0,0,0,0,6.065323057,-13.81818182,13.2546386,445.2464742,1714.218456,1.906318139,3.669956489,0.219190849,4.454545455,BCC,
50,Al1.5NbTiMoV,30,0,0,0,0,0,0,17.5,17.5,17.5,17.5,0,0,0,0,0,0,0,7.956020667,-22.52204048,14.02605202,383.6967241,1382.977566,0.807551259,5.987431621,0.150095009,5.374673082,MIP,
51,Al1.8CoCrFeNiTi0.2,30,17,17,17,17,0,0,3,0,0,0,0,0,0,0,0,0,0,5.953084994,-17.2,13.8774309,328.7213675,1268.660498,1.243974921,6.792446097,0.129786577,6.533333333,MIP,
52,Al10 (HfNbTiZr)90,10,0,0,0,0,0,0,23,0,23,0,23,23,0,0,0,0,0,7.934060192,-11.79,13.07655279,506.2105319,1947.582365,2.463063953,4.952975798,0.132898222,4.125,MIP,
53,Al12(HfNbTiZr)88,12,0,0,0,0,0,0,22,0,22,0,22,22,0,0,0,0,0,7.836686778,-13.8336,13.19392083,499.7308796,1923.529714,2.095103099,4.961272793,0.133278806,4.1,MIP,
54,Al18Cr28Nb18Ti18V18,18,28,0,0,0,0,0,18,18,18,0,0,0,0,0,0,0,0,5.878231664,-13.6656,13.22901807,437.5084867,1684.261071,1.894876656,6.31973639,0.040764691,4.74,MIP,
55,Al20Cr10Nb15Ti20V25Zr10,20,0,10,0,0,0,0,20,25,15,0,10,0,0,0,0,0,0,6.583770743,-15.72916191,13.02788783,428.1822276,1656.253599,1.732269012,5.622753096,0.106335508,4.625171597,MIP,
56,Al3(HfNbTiZr)97,3,0,0,0,0,0,0,24,0,24,0,24,24,0,0,0,0,0,8.023425953,-14.01996054,12.1095258,496.6971104,1903.906733,1.88039935,4.645486222,0.124723309,3.983957219,BCC,
57,Al5(HfNbTiZr)95,5,0,0,0,0,0,0,24,0,24,0,24,24,0,0,0,0,0,8.174381019,-6.2225,12.6005248,522.6054196,2006.961196,4.617211355,4.920843689,0.131569314,4.1875,BCC,
58,Al5Nb24Ti40V5Zr26,0,0,0,0,0,0,0,42,5,25,0,27,0,0,0,0,0,0,6.068935026,-6.8576,11.29799536,491.5373168,1878.25911,3.544477681,5.289095698,0.109284766,4.24,BCC,
59,Al7(HfNbTiZr)93,7,0,0,0,0,0,0,23,0,23,0,23,23,0,0,0,0,0,8.078781404,-8.5281,12.8283229,515.9997301,1983.337556,3.394302481,4.93564939,0.132166181,4.1625,BCC,
60,AlCoCrCuMnTi,14,14,14,14,0,14,14,14,0,0,0,0,0,0,0,0,0,0,6.225147655,-12.88888889,14.8975162,327.2807507,1268.076288,1.781413727,6.364112905,0.146969385,6.666666667,MIP,
61,AlCoCrFeMo0.1Ni,20,20,20,20,20,0,0,0,0,0,2,0,0,0,0,0,0,0,6.8,-12.13,13.92,442.4602388,1707.86,1.96,5.3,0.13,7.18,BCC,
62,AlCoCrFeMo0.2Ni,19,19,19,19,19,0,0,0,0,0,4,0,0,0,0,0,0,0,6.89,-11.95,14.22,447.8611838,1730.71,2.06,5.35,0.14,7.15,MIP,
63,AlCoCrFeMo0.3Ni,19,19,19,19,19,0,0,0,0,0,6,0,0,0,0,0,0,0,6.969186113,-11.77643289,14.43271079,370.8521057,1434.303168,2.09258423,5.770073848,0.146647598,7.132075472,MIP,
64,AlCoCrFeMo0.4Ni,19,19,19,19,19,0,0,0,0,0,7,0,0,0,0,0,0,0,7.04,-11.6,14.59,458.3715626,1773.86,2.23,5.44,0.15,7.11,MIP,
65,AlCoCrFeMo0.5Ni,18,18,18,18,18,0,0,0,0,0,9,0,0,0,0,0,0,0,6.777073377,-13.31795463,13.9216461,359.076864,1386.029271,1.734388445,5.918861194,0.12190182,7.156862745,MIP,
66,AlCoCrFeNb0.1Ni,20,20,20,20,20,0,0,0,0,2,0,0,0,0,0,0,0,0,6.777073377,-13.31795463,13.9216461,359.076864,1386.029271,1.734388445,5.918861194,0.12190182,7.156862745,BCC,
67,AlCoCrFeNb0.25Ni,19,19,19,19,19,0,0,0,0,5,0,0,0,0,0,0,0,0,6.849513582,-14.65759637,14.33614554,366.6265111,1417.442609,1.653516789,6.098683245,0.123615232,7.095238095,MIP,
68,AlCoCrFeNb0.5Ni,18,18,18,18,18,0,0,0,0,9,0,0,0,0,0,0,0,0,6.958059832,-16.52892562,14.69798576,378.6365986,1465.931765,1.546440441,6.331848469,0.125829479,7,MIP,
69,AlCoCrFeNiTi0.2,19,19,19,19,19,0,0,4,0,0,0,0,0,0,0,0,0,0,6.609062303,-14.85207101,14.22238699,355.2780842,1372.966278,1.576325802,6.229766254,0.126774388,7.076923077,MIP,
70,AlCoCrFeNiTi0.4,19,19,19,19,19,0,0,7,0,0,0,0,0,0,0,0,0,0,6.504571222,-16.98216735,14.58583089,356.9526575,1381.385707,1.421065847,6.575134688,0.131697788,6.962962963,MIP,
71,AlCoCrFeNiTi0.5,18,18,18,18,18,0,0,9,0,0,0,0,0,0,0,0,0,0,6.44,-17.92,14.7,441.016415,1707.45,1.4,6.12,0.13,6.91,BCC,
72,AlCoCrFeNiV0.2,19,19,19,19,19,0,0,0,4,0,0,0,0,0,0,0,0,0,6.699123077,-13.07692308,14.22238699,356.8175518,1378.908417,1.796769316,5.680701531,0.121601736,7.115384615,BCC,
73,AlCoCrFeNiV0.5,18,18,18,18,18,0,0,0,9,0,0,0,0,0,0,0,0,0,6.663791786,-13.95041322,14.69798576,361.537126,1399.722249,1.762517863,5.543349113,0.122575664,7,BCC,
74,AlCoCrFeNiV0.8,17,17,17,17,17,0,0,0,14,0,0,0,0,0,0,0,0,0,6.632458546,-14.57788347,14.87154905,366.2457299,1418.907162,1.72614297,5.415173375,0.123026635,6.896551724,BCC,
75,AlCoCrFeNiV1.0,17,17,17,17,17,0,0,0,17,0,0,0,0,0,0,0,0,0,6.613467917,-14.88888889,14.8975162,369.2998715,1430.884178,1.705021574,5.334355642,0.123107902,6.833333333,BCC,
76,AlCr0.5NbTiV,22,0,11,0,0,0,0,22,22,22,0,0,0,0,0,0,0,0,5.64713986,-15.40740741,13.14594406,428.7017339,1649.838175,1.640736453,5.232513176,0.037646832,4.444444444,BCC,
77,AlCr1.5NbTiV,18,0,27,0,0,0,0,18,18,18,0,0,0,0,0,0,0,0,5.86780852,-13.75206612,13.2546386,437.0693929,1682.737057,1.885140448,6.288154515,0.040696417,4.727272727,MIP,
78,AlCrFeCoNiCuTi,14,14,14,14,14,14,0,14,0,0,0,0,0,0,0,0,0,0,6.594949257,-13.79591837,16.17919618,332.922235,1296.37485,1.840664013,6.777886208,0.142571142,7.285714286,MIP,
79,AlCrFeCoNiCuV,14,14,14,14,14,14,0,0,14,0,0,0,0,0,0,0,0,0,6.927665216,-7.755102041,16.17919618,332.9282758,1296.37485,3.274444401,4.954076535,0.124997959,7.428571429,MIP,
